[2025-08-25 15:08:43] INFO: CheckM v1.2.4
[2025-08-25 15:08:43] INFO: checkm qa --out_format 6 checkm_out/Xanthomonas.ms checkm_out
[2025-08-25 15:08:43] INFO: CheckM data: /data/djs217/miniconda3/envs/checkm_env/checkm_data
[2025-08-25 15:08:43] INFO: [CheckM - qa] Tabulating genome statistics.
[2025-08-25 15:08:43] INFO: Calculating AAI between multi-copy marker genes.
[2025-08-25 15:08:43] INFO: Reading HMM info from file.
[2025-08-25 15:08:46] INFO: Parsing HMM hits to marker genes:
Bin Id	Marker Id	Gene Ids
GCA_000009165.1_ASM916v1_genomic	PF00308.13	AM039952.1_1,AM039952.1_3071
GCA_000802325.1_XEU_66b_E1.0_genomic	TIGR00878	JSZG01000031.1_31,JSZG01000160.1_1
GCA_000802325.1_XEU_66b_E1.0_genomic	PF00308.13	JSZG01000030.1_8,JSZG01000160.1_4
GCA_000802325.1_XEU_66b_E1.0_genomic	PF00342.14	JSZG01000133.1_1,JSZG01000239.1_1
GCA_000802325.1_XEU_66b_E1.0_genomic	PF00750.14	JSZG01000144.1_1,JSZG01000268.1_3
GCA_000802325.1_XEU_66b_E1.0_genomic	PF09502.5	JSZG01000020.1_46,JSZG01000206.1_1
GCA_000802345.1_XEU_83M_E1.0_genomic	TIGR00409	JSZH01000003.1_1,JSZH01000033.1_19
GCA_000802345.1_XEU_83M_E1.0_genomic	TIGR01027	JSZH01000027.1_1,JSZH01000098.1_1
GCA_000802345.1_XEU_83M_E1.0_genomic	PF00562.23	JSZH01000158.1_1,JSZH01000181.1_8
GCA_000802345.1_XEU_83M_E1.0_genomic	PF05496.7	JSZH01000028.1_4,JSZH01000138.1_11
GCA_000802345.1_XEU_83M_E1.0_genomic	PF05491.8	JSZH01000025.1_38,JSZH01000138.1_11
GCA_000802345.1_XEU_83M_E1.0_genomic	PF00308.13	JSZH01000126.1_10,JSZH01000180.1_4
GCA_000802345.1_XEU_83M_E1.0_genomic	PF04366.7	JSZH01000168.1_1,JSZH01000220.1_9
GCA_000802345.1_XEU_83M_E1.0_genomic	PF01702.13	JSZH01000104.1_1,JSZH01000200.1_1
GCA_000802345.1_XEU_83M_E1.0_genomic	PF02634.10	JSZH01000029.1_1,JSZH01000046.1_18
GCA_000802345.1_XEU_83M_E1.0_genomic	PF07308.8	JSZH01000031.1_1,JSZH01000062.1_18
GCA_000802345.1_XEU_83M_E1.0_genomic	PF02446.12	JSZH01000047.1_15,JSZH01000286.1_1
GCA_000802345.1_XEU_83M_E1.0_genomic	PF00490.16	JSZH01000100.1_33,JSZH01000190.1_1
GCA_001401555.1_Xeu_LMG27970_genomic	TIGR00097	JPYC01001008.1_2,JPYC01001352.1_1
GCA_001401555.1_Xeu_LMG27970_genomic	TIGR00759	JPYC01000713.1_1,JPYC01000971.1_1
GCA_001401555.1_Xeu_LMG27970_genomic	TIGR01814	JPYC01000302.1_1,JPYC01000850.1_2
GCA_001401555.1_Xeu_LMG27970_genomic	TIGR01207	JPYC01000152.1_9,JPYC01001360.1_1
GCA_001401555.1_Xeu_LMG27970_genomic	TIGR00784	JPYC01000427.1_2,JPYC01000799.1_4
GCA_001401555.1_Xeu_LMG27970_genomic	PF00573.17	JPYC01000467.1_27,JPYC01000510.1_2
GCA_001401555.1_Xeu_LMG27970_genomic	PF00464.14	JPYC01001122.1_1,JPYC01001487.1_1
GCA_001401555.1_Xeu_LMG27970_genomic	PF02469.17	JPYC01000117.1_1,JPYC01000948.1_1
GCA_001401555.1_Xeu_LMG27970_genomic	PF00308.13	JPYC01000081.1_1,JPYC01000195.1_6
GCA_001401555.1_Xeu_LMG27970_genomic	PF00745.15	JPYC01000095.1_15,JPYC01001490.1_1
GCA_001401555.1_Xeu_LMG27970_genomic	PF01409.15	JPYC01000537.1_7,JPYC01001328.1_1
